Freq.	V(n001)
8.87094740445071e+01	(-5.04531781269642e+01dB,1.79999476476420e+02°)
8.89139705019450e+01	(-5.04531781269659e+01dB,1.79999475269573e+02°)
8.91189383724033e+01	(-5.04531781269676e+01dB,1.79999474059945e+02°)
8.93243787426013e+01	(-5.04531781269692e+01dB,1.79999472847528e+02°)
8.95302927017635e+01	(-5.04531781269709e+01dB,1.79999471632316e+02°)
8.97366813416251e+01	(-5.04531781269727e+01dB,1.79999470414303e+02°)
8.99435457564382e+01	(-5.04531781269744e+01dB,1.79999469193482e+02°)
9.01508870429772e+01	(-5.04531781269761e+01dB,1.79999467969846e+02°)
9.03587063005451e+01	(-5.04531781269778e+01dB,1.79999466743390e+02°)
9.05670046309789e+01	(-5.04531781269796e+01dB,1.79999465514106e+02°)
9.07757831386555e+01	(-5.04531781269813e+01dB,1.79999464281989e+02°)
9.09850429304979e+01	(-5.04531781269830e+01dB,1.79999463047032e+02°)
9.11947851159806e+01	(-5.04531781269848e+01dB,1.79999461809227e+02°)
9.14050108071359e+01	(-5.04531781269866e+01dB,1.79999460568569e+02°)
9.16157211185593e+01	(-5.04531781269883e+01dB,1.79999459325052e+02°)
9.18269171674160e+01	(-5.04531781269901e+01dB,1.79999458078667e+02°)
9.20386000734465e+01	(-5.04531781269919e+01dB,1.79999456829409e+02°)
9.22507709589724e+01	(-5.04531781269937e+01dB,1.79999455577272e+02°)
9.24634309489026e+01	(-5.04531781269955e+01dB,1.79999454322248e+02°)
9.26765811707392e+01	(-5.04531781269974e+01dB,1.79999453064331e+02°)
9.28902227545836e+01	(-5.04531781269992e+01dB,1.79999451803514e+02°)
9.31043568331420e+01	(-5.04531781270010e+01dB,1.79999450539790e+02°)
9.33189845417321e+01	(-5.04531781270029e+01dB,1.79999449273154e+02°)
9.35341070182887e+01	(-5.04531781270047e+01dB,1.79999448003597e+02°)
9.37497254033696e+01	(-5.04531781270066e+01dB,1.79999446731114e+02°)
9.39658408401621e+01	(-5.04531781270084e+01dB,1.79999445455698e+02°)
9.41824544744887e+01	(-5.04531781270103e+01dB,1.79999444177341e+02°)
9.43995674548133e+01	(-5.04531781270122e+01dB,1.79999442896037e+02°)
9.46171809322474e+01	(-5.04531781270141e+01dB,1.79999441611780e+02°)
9.48352960605559e+01	(-5.04531781270160e+01dB,1.79999440324562e+02°)
9.50539139961636e+01	(-5.04531781270179e+01dB,1.79999439034377e+02°)
9.52730358981610e+01	(-5.04531781270198e+01dB,1.79999437741218e+02°)
9.54926629283105e+01	(-5.04531781270218e+01dB,1.79999436445078e+02°)
9.57127962510529e+01	(-5.04531781270237e+01dB,1.79999435145949e+02°)
9.59334370335130e+01	(-5.04531781270257e+01dB,1.79999433843826e+02°)
